identifier;name;familyName;givenName;country;group;gender;citizenship;memberships;born_place;born_day;born_month;born_year;disability;born_lat;born_lon;relatives;educated_at;highest_degree;occupation
197507;włodzimierz cimoszewicz;Cimoszewicz;Włodzimierz;PL;S&D;MALE;POL;AFET,AFCO,DCAS,D-US;Warszawa;13.0;9.0;1950.0;;52.23;21.011111111;;Q20033130,Columbia University,Faculty of Law and Administration, University of Warsaw;phd;teacher,diplomat,professor,lawyer,farmer,politician
214839;emma wiesner;Wiesner;Emma;SE;Renew;FEMALE;SWE;ENVI,PECH,DEEA,ITRE,AGRI,D-CN;Västerås;11.0;11.0;1992.0;;58.9473;17.499205555;;Uppsala University;university;politician,manager
239972;erik poulsen;Poulsen;Erik;DK;Renew;MALE;DNK;ENVI,DACP,DAFR,ECON,SANT,D-JP;Holstebro;16.0;6.0;1967.0;;56.409444444;8.73;;Danish School of Journalism;;politician
243912;maria veronica rossi;Rossi;Maria Veronica;IT;ID;FEMALE;ITA;ENVI,FEMM,SANT,D-MK,EMPL,CULT,D-CN,DLAT;Ferentino;22.0;9.0;1988.0;;41.683333333;13.25;;;secondary;politician,manager
197463;olivier chastel;Chastel;Olivier;BE;Renew;MALE;BEL;BUDG,CONT,DMAG,ECON,LIBE,FISC,DMED;Liège;22.0;11.0;1964.0;;50.639722222;5.570555555;;Free University of Brussels;university;researcher,politician,doctor,manager
197769;michal wiezik;Wiezik;Michal;SK;Renew;MALE;SVK;ENVI,PETI,CONT;Martin;14.0;6.0;1979.0;;49.063611111;18.921388888;;Technical University in Zvolen;;researcher,politician
197764;miroslav radačovský;Radačovský;Miroslav;SK;NI;MALE;SVK;IMCO,D-RU,DEPA,AFET,D-MD;Lutina;24.0;9.0;1953.0;;49.16666667;21.05;;Faculty of Law, Pavel Jozef Šafárik University in Košice;university;politician,lawyer,teacher
204421;jean-lin lacapelle;Lacapelle;Jean-Lin;FR;ID;MALE;FRA;AFET,IMCO,SEDE,D-RS,DACP,DCAB,INTA,D-RU,D-IR;Lyon;17.0;4.0;1967.0;;45.758888888;4.841388888;;;;official,politician
124936;maria arena;Arena;Maria;BE;S&D;FEMALE;BEL;AFET,ENVI,DROI,DPAP,DACP,DAFR;Mons;17.0;12.0;1966.0;;;;;;;researcher
197542;janina ochojska;Ochojska;Janina;PL;PPE;FEMALE;POL;DEVE,DROI,D-BY,DEPA,DACP,DAFR,LIBE,DMAG,DMED;Gdánsk;12.0;3.0;1955.0;True;54.3482907;18.6540233;;Nicolaus Copernicus University in Toruń;university;astronomer,politician,activist
124696;andrus ansip;Ansip;Andrus;EE;Renew;MALE;EST;IMCO,DPAP,ITRE,D-IL,DMED;Tartu;1.0;10.0;1956.0;;58.38;26.7225;;York University,Estonian University of Life Sciences,University of Tartu;university;researcher,businessperson,engineer,entrepreneur,politician
239973;bergur løkke rasmussen;Rasmussen;Bergur Løkke;DK;Renew;MALE;DNK;TRAN,D-CN,REGI,LIBE,D-IR;Gribskov;4.0;3.0;1990.0;;56.1225;12.3081;Lars Løkke Rasmussen,Sólrun Løkke Rasmussen;Copenhagen Business School;;politician
124701;luděk niedermayer;Niedermayer;Luděk;CZ;PPE;MALE;CZE;ECON,FISC,D-US,ITRE,TRAN,D-BY,DKOR;Brno;13.0;3.0;1966.0;;49.195277777;16.608333333;;Masaryk University;university;bank officer,manager,official,researcher,politician
96808;pablo arias echeverría;Arias Echeverría;Pablo;ES;PPE;MALE;ESP;IMCO,D-US,TRAN,DAND,DLAT;Madrid;30.0;6.0;1970.0;;40.416944444;-3.703333333;;;;politician
197455;cindy franssen;Franssen;Cindy;BE;PPE;FEMALE;BEL;D-IN,EMPL,SANT,ENVI,FEMM,D-CA;Oudenaarde;30.0;1.0;1976.0;;50.85;3.6;;Ghent University;university;politician
251859;guy lavocat;Lavocat;Guy;FR;Renew;MALE;FRA;FEMM,DMER,DLAT,JURI,D-MX;Pondichery;14.0;2.0;1963.0;;11.93;79.83;;;university;politician,official,consultant,manager
208722;sara matthieu;Matthieu;Sara;BE;Verts/ALE;FEMALE;BEL;INTA,EMPL,DSAS,ENVI,D-UA,D-IN;Aalst;21.0;5.0;1981.0;;;;;;;
197551;stéphane bijoux;Bijoux;Stéphane;FR;Renew;MALE;FRA;DCAR,DEVE,REGI,DACP,DPAC;Saint-Denis (Reunion);8.0;10.0;1970.0;;-20.878888888;55.448055555;;Bordeaux Montaigne University;;journalist,politician
97058;guy verhofstadt;Verhofstadt;Guy;BE;Renew;MALE;BEL;AFCO,D-US,D-IL,DMED;Dendermonde;11.0;4.0;1953.0;;51.03123;4.0981;;Ghent University;university;politician
96934;sandra kalniete;Kalniete;Sandra;LV;PPE;FEMALE;LVA;AFET,D-UA,DEPA,INTA,DEEA,DNAT;;22.0;12.0;1952.0;;;;;;;
234344;max orville;Orville;Max;FR;Renew;MALE;FRA;DAFR,DACP,EMPL,AFCO,ENVI,DPAP;;19.0;6.0;1962.0;;;;;;university;lawyer,teacher
197574;damien carême;Carême;Damien;FR;Verts/ALE;MALE;FRA;LIBE,D-ZA,ECON,ITRE,FISC;Joeuf;16.0;11.0;1960.0;;49.229722222;6.008888888;;;;politician
96829;ádám kósa;Kósa;Ádám;HU;NI;MALE;HUN;EMPL,D-JP,DEVE,DPAP;Budapest;1.0;7.0;1975.0;True;47.498333333;19.040833333;;Semmelweis University,Pázmány Péter Catholic University;university;politician,lawyer
23712;jan zahradil;Zahradil;Jan;CZ;ECR;MALE;CZE;INTA,D-UK,DASE,DEVE;Praha;20.0;3.0;1963.0;;50.0875;14.421388888;;University of Chemistry and Technology;university;politician,official,researcher
28347;javier moreno sánchez;Moreno Sánchez;Javier;ES;S&D;MALE;ESP;D-CA,LIBE,INTA,DCAS,DLAT;Ginebra (Suiza);12.0;3.0;1965.0;;46.2;6.15;;;;politician
197624;ivars ijabs;Ijabs;Ivars;LV;Renew;MALE;LVA;ITRE,D-US,ECON,IMCO,DAND,DASE,DLAT;Riga;17.0;11.0;1972.0;;56.9475;24.106944444;;University of Latvia;;horn player,researcher,politician
205452;chris macmanus;MacManus;Chris;IE;The Left;MALE;IRL;AGRI,D-UK,D-ZA,ECON,DPAL;London;13.0;3.0;1973.0;;51.9;-8.473055555;Seán MacManus;Summerhill College;;politician
197515;pernille weiss;Weiss;Pernille;DK;PPE;FEMALE;DNK;D-CN,ENVI,ITRE,DACP,DAFR,FEMM,SANT,DMAG,DMED;Middelfart;12.0;3.0;1968.0;;56.0;10.0;;Copenhagen Business School,University of Southern Denmark;;businessperson,doctor,politician
96826;tamás deutsch;Deutsch;Tamás;HU;NI;MALE;HUN;PETI,D-IQ,ECON,DKOR;Budapest;27.0;7.0;1966.0;;47.498333333;19.040833333;László Lazsányi,Lajos Für;Saint Margaret High School, Budapest,Eötvös Loránd University;university;politician,lawyer
253043;henk jan ormel;Ormel;Henk Jan;NL;PPE;MALE;NLD;ENVI,D-CN,ECON,DKOR,DCAS,DNAT;Utrecht;15.0;12.0;1955.0;;52.090833333;5.121666666;;Utrecht University;;politician
197805;silvia modig;Modig;Silvia;FI;The Left;FEMALE;FIN;BUDG,ENVI,DSAS,FEMM,DPAL,DMED;Helsingfors;8.0;7.0;1976.0;;60.170833333;24.9375;;;;journalist,politician
204419;sandro gozi;Gozi;Sandro;FR;Renew;MALE;ITA;IMCO,AFCO,DMAS,REGI,D-IN;Sogliano al Rubicone;25.0;3.0;1968.0;;44.0;12.3;;University of Bologna,Free University of Brussels,Sciences Po,Université Libre de Bruxelles;university;politician,professor
251268;michael kauch;Kauch;Michael;DE;Renew;MALE;DEU;ITRE,D-IL,AFET,ECON,DACP,DAFR;;4.0;5.0;1967.0;;;;;;university;manager,marketeer,politician,consultant
840;charles goerens;Goerens;Charles;LU;Renew;MALE;LUX;AFCO,DEVE,DROI,DCAR,DACP,DAFR,BUDG,AGRI,DARP;Ettelbruck;6.0;2.0;1952.0;;49.846388888;6.099166666;Gust Goerens;;;politician,diplomat
197717;ibán garcía del blanco;García Del Blanco;Ibán;ES;S&D;MALE;ESP;JURI,PETI,DAND,DLAT,CULT,D-CL;Leon;8.0;2.0;1977.0;;;;;;university;
189525;asim ademov;Ademov;Asim;BG;PPE;MALE;BGR;CULT,DMAG,DMED,AGRI,PETI,D-RS;Dubnitsa;3.0;12.0;1968.0;;41.566415;23.83145;;;;politician
197395;alice kuhnke;Kuhnke;Alice;SE;Verts/ALE;FEMALE;SWE;LIBE,FEMM,D-TR,D-IR;Malmö;21.0;12.0;1971.0;;;;;;university;journalist,manager,official
124712;andrea bocskor;Bocskor;Andrea;HU;NI;FEMALE;HUN;CULT,D-MD,AFET,DEPA;Berehove;11.0;8.0;1978.0;;48.2025;22.6375;;Ferenc Rákóczi II Transcarpathian Hungarian College of Higher Education,Eötvös Loránd University;phd;teacher,manager,professor,researcher,politician
197467;geert bourgeois;Bourgeois;Geert;BE;ECR;MALE;BEL;INTA,D-UK,D-IN,IMCO;Roeselare;6.0;7.0;1951.0;;50.944722222;3.123333333;;Ghent University;;lawyer,politician
124692;demetris papadakis;Papadakis;Demetris;CY;S&D;MALE;CYP;AFET,D-ME,DACP,DAFR,ENVI,PETI,DLAT;Ammochostos;22.0;8.0;1966.0;;;;;;university;marketeer
197502;marie-pierre vedrenne;Vedrenne;Marie-Pierre;FR;Renew;FEMALE;FRA;INTA,DACP,DCAB,EMPL,PETI,DCAR;Limoges;13.0;12.0;1982.0;;45.834444444;1.261666666;;University of Rennes 1,University of Limoges;;lawyer,politician
197406;arba kokalari;Kokalari;Arba;SE;PPE;FEMALE;SWE;IMCO,FEMM,D-US,AFET,D-BY,DEPA,DACP,DCAB;Stockholm;27.0;11.0;1986.0;;41.328888888;19.817777777;Musine Kokalari;Kungsholmens gymnasium,Stockholm University;;politician
197687;philippe olivier;Olivier;Philippe;FR;ID;MALE;FRA;TRAN,DPAP,DACP,DAFR,LIBE;Juvisy sur Orge;30.0;8.0;1961.0;;48.688333333;2.3775;Pierrette Lalanne,Docteur Merlin,Jean-Marie Le Pen,Yann Le Pen,Marion Maréchal,Marine Le Pen;Paris 12 University;;lawyer,politician
197817;mick wallace;Wallace;Mick;IE;The Left;MALE;IRL;ENVI,SEDE,DARP,AFET,ECON,D-IR,D-AF;Wexford;9.0;11.0;1955.0;;52.3342;-6.4575;;University College Dublin;;athlete,politician,activist
197819;alexis georgoulis;Georgoulis;Alexis;GR;NI;MALE;GRC;PETI,ITRE;Larisa;6.0;10.0;1974.0;;39.638493;22.413061;;National Technical University of Athens,Iasmos Drama School;;film director,journalist,actor,politician
197848;atidzhe alieva-veli;Alieva-Veli;Atidzhe;BG;Renew;FEMALE;BGR;DCAS,EMPL,AGRI,D-MK;Devin;18.0;9.0;1981.0;;41.743163;24.396725;;University of National and World Economy,Sofia University;university;researcher,politician,manager
197607;pietro fiocchi;Fiocchi;Pietro;IT;ECR;MALE;ITA;ENVI,SANT,D-US,ITRE,DACP,DAFR;Milano;22.0;5.0;1964.0;;45.466944444;9.19;;University of Missouri;;politician
114268;nils torvalds;Torvalds;Nils;FI;Renew;MALE;FIN;BUDG,ENVI,D-RU,ITRE,D-US;Ekenäs;7.0;8.0;1945.0;;59.975;23.436111111;Ole Torvalds,noble Märta Wendt;University of Helsinki;university;politician,journalist,manager
