identifier;born_day;born_month;born_year;born_place;memberships;degrees;occupation
197637;;;;;ITRE,LIBE,DASE;university;politician,engineer,manager
239260;25;7;1981;Polistena;ECON,REGI;;
197432;21;2;1978;;TRAN,DACP,DAFR,DEVE,LIBE,DROI,DMAS;university;
197512;7;4;1967;Royan;AGRI,DACP,DAFR,DEVE,PECH;;
124834;15;5;1965;;LIBE,DSCA,DKOR,DEPA,AFCO;university,phd;media,politician,official,manager
124715;13;6;1962;;DEVE,DROI,DACP,DAFR,DARP,D-IR;;
4560;14;3;1956;Stiphout;IMCO,DACP,DPAC,EMPL,JURI,D-CN;;
198329;22;9;1963;Puçol;EMPL,DACP,DCAB,ENVI,DSAS;;
250237;16;11;1961;Puławy;IMCO,DACP,DAFR,INTA,DLAT;;
197489;21;6;1953;Schnaittenbach;;;
199996;;;;;AGRI,PECH,D-US,REGI,D-CA,DLAT,DACP,DAFR;university,phd;teacher,researcher
96761;7;4;1963;Hameln;DANZ,JURI,LIBE,DSAS;;lawyer,teacher
197780;1;1;1981;;D-IR,ITRE,AFET,SEDE,DNAT;;
197488;19;1;1970;GELSENKIRCHEN;;;
197791;8;5;1966;Roma;;;
197824;21;8;1977;Palermo;REGI,DACP,DAFR,LIBE;;
124850;26;5;1971;Varna;LIBE,PETI,DACP,DAFR,JURI,DKOR,DEPA;;
197417;20;9;1982;Zagreb;IMCO,SANT,D-TR,ENVI,REGI,D-ME,DMED;;
197453;5;6;1976;Berlin;DEEA,TRAN,DMER,ENVI,REGI,AGRI,DLAT;university;
197699;;;;;TRAN,DKOR,DMED,ITRE,FEMM,DMAS,D-US;university;manager
96756;24;10;1964;;CULT,DPAP,DEVE,D-ZA,DACP,DAFR;university;
197734;7;2;1985;Athens;BUDG,ECON,D-MK,PETI,D-UK;;
124722;4;12;1975;Csorna;ECON,DASE,ITRE,D-US;university;lawyer,researcher
28619;8;5;1950;Rīga;PETI,D-AF,D-IN;university,phd;politician,teacher,researcher,manager
29579;11;3;1963;Ougrée;PECH,CULT,PETI;university;politician
197838;30;10;1955;Mazas Ungutas;D-BY,AGRI,DEPA,AFET,SEDE,DNAT,DACP,DPAC;;
5565;11;5;1958;;AFCO,DMAG,DMED,TRAN,LIBE;university;politician,manager
197400;18;5;1976;Basra;D-IQ,LIBE,EMPL,FEMM,DSEE;university;politician,manager
197844;18;4;1982;Sliven;ENVI,TRAN,DSCA,DEPA,LIBE,DSEE,D-RU;;
237465;12;4;1983;Meerane;REGI,D-BY,ITRE,D-IL,DPAL,DEPA;secondary,university;politician,official,researcher,manager
