identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
22858;fabienne keller;Keller;Fabienne;FR;Renew;FEMALE;BUDG,LIBE,DMAS,DMED,DMAG;Sélestat;20;10;1959;;;French National School of Forestry,Lycée Kléber,École polytechnique,University of California, Berkeley;university;banker,official,politician,manager
197596;teuvo hakkarainen;Hakkarainen;Teuvo;FI;ECR;MALE;ENVI,DCAM,DLAT;Viitasaari;12;4;1960;;;;;politician
130833;stelios kouloglou;Kouloglou;Stelios;GR;The Left;MALE;DMER,AFET,DANZ,IMCO,CULT,DROI,DLAT;Athens;27;2;1953;;;National and Kapodistrian University of Athens;;writer,politician,media
125038;maite pagazaurtundúa;Pagazaurtundúa;Maite;ES;Renew;FEMALE;LIBE,DPAL,DMED,AFCO,PETI,DACP,DAFR;Donostia San Sebastián;11;2;1965;;;University of Deusto;university;writer,politician
124844;piernicola pedicini;Pedicini;Piernicola;IT;Verts/ALE;MALE;ECON,D-MD,DEPA,ENVI,DACP,DCAB;Benevento;22;5;1969;;;University of Naples Federico II;university;official,politician,researcher,manager
197843;andrius kubilius;Kubilius;Andrius;LT;PPE;MALE;DEPA,AFET,ITRE,D-UA,D-RU,D-IL;Lietuva;8;12;1956;;Vytautas Kubilius,Janina Žėkaitė–Kubilienė;Vilnius University;;politician,researcher
197419;valter flego;Flego;Valter;HR;Renew;MALE;D-ME,ITRE,TRAN,D-RS;Koper;15;8;1972;;;University of Rijeka;;politician
197546;marcel kolaja;Kolaja;Marcel;CZ;Verts/ALE;MALE;IMCO,D-US,CULT,D-IN;Moravská Třebová;29;6;1980;;;Masaryk University;;politician,engineer
28390;pilar del castillo vera;del Castillo Vera;Pilar;ES;PPE;FEMALE;DAND,ITRE,DLAT,IMCO,D-UK,DSAS,DASE;Nador (Marruecos);31;7;1952;;;;phd;researcher,teacher,media,official,manager
58766;nicolae ştefănuță;Ştefănuță;Nicolae;RO;Verts/ALE;MALE;BUDG,SANT,D-US,ENVI,TRAN,D-MD,DNAT;RASINARI;3;1;1982;;;;university;official,politician
213330;ernő schaller-baross;Schaller-Baross;Ernő;HU;NI;MALE;INTA,D-IN,CONT,D-ZA;Budapest;30;1;1987;;;Károli Gáspár University of the Reformed Church in Hungary;university;official,politician,lawyer,manager
190713;lukas mandl;Mandl;Lukas;AT;PPE;MALE;DKOR,SEDE,AFET,LIBE,DCAR,DSEE,EMPL,D-UK;Wien;12;7;1979;;;University of Vienna;university;consultant,teacher,politician
250235;witold pahl;Pahl;Witold;PL;PPE;MALE;REGI,DLAT,JURI,DCAS;Wrocław;7;12;1961;;;SWPS University,Adam Mickiewicz University in Poznań,Faculty of Law and Administration of Adam Mickiewicz University in Poznań;;politician
197449;michael bloss;Bloss;Michael;DE;Verts/ALE;MALE;ENVI,ITRE;Stuttgart;6;11;1986;;;;;politician
197628;jean-paul garraud;Garraud;Jean-Paul;FR;ID;MALE;LIBE,DEEA,D-UA,DEVE,JURI;Toulouse;27;2;1956;;;French National School for the Judiciary;phd;official,politician,lawyer,manager
124837;joachim schuster;Schuster;Joachim;DE;S&D;MALE;D-ZA,INTA,ECON,SEDE,FISC,D-RU;Rastatt;28;10;1962;;;University of Bremen,University of Marburg;phd;official,politician
197403;alex agius saliba;Agius Saliba;Alex;MT;S&D;MALE;PETI,IMCO,DMED,DACP,DCAB,EMPL,ITRE,DPAL;Pieta;31;1;1988;;;University of Malta;;politician
197634;pedro marques;Marques;Pedro;PT;S&D;MALE;AFET,ECON,FISC,DMAG,D-IN,DMED;Alcochete;1;8;1976;;;;university;politician,researcher
197845;tsvetelina penkova;Penkova;Tsvetelina;BG;S&D;FEMALE;D-UK,ITRE,REGI,D-JP,CONT,IMCO,DASE;Sofia;19;2;1988;;;Central European University;university;politician
221463;ladislav ilčić;Ilčić;Ladislav;HR;ECR;MALE;PECH,DSEE,ITRE,AGRI;Varaždin;4;8;1970;;;;;politician
197537;alexandr vondra;Vondra;Alexandr;CZ;ECR;MALE;ENVI,SEDE,D-US,DMED,LIBE,D-IL;Praha;17;8;1961;;;Faculty of Science, Charles University;;researcher,politician,media,official
238639;johan nissinen;Nissinen;Johan;SE;ECR;MALE;ITRE,FEMM,D-ME,ECON,SANT,D-CN;Värnamo parish;17;5;1989;;;Linnaeus University;;politician
124996;peter lundgren;Lundgren;Peter;SE;ECR;MALE;TRAN,EMPL,D-UK,DARP;Bjuv parish;2;2;1963;;;;secondary;politician
126644;jordi cañas;Cañas;Jordi;ES;Renew;MALE;DMER,DLAT,INTA,EMPL,D-MX,D-UK,IMCO,PETI;Barcelona;12;12;1969;;;;;
