identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
33998;vasile dîncu;Dîncu;Vasile;RO;S&D;MALE;AFCO,AFET;Năsăud;25.0;11.0;1961.0;;;;;
256809;paulius saudargas;Saudargas;Paulius;LT;PPE;MALE;ECON,ITRE,IMCO;Kaunas;13.0;3.0;1979.0;;;;;
197414;loucas fourlas;Fourlas;Loucas;CY;PPE;MALE;AFET,CULT,LIBE,FEMM;Lemesos;21.0;8.0;1969.0;;;;university;media
28399;antonio lópez-istúriz white;López-Istúriz White;Antonio;ES;PPE;MALE;AFET,DROI,ECON;Pamplona;1.0;4.0;1970.0;;;CEU San Pablo University;phd;lawyer,politician
256950;dimitris tsiodras;Tsiodras;Dimitris;GR;PPE;MALE;ENVI,IMCO,ITRE;Manari Arkadias;26.0;10.0;1959.0;;;;;
257262;rada laykova;Laykova;Rada;BG;ESN;FEMALE;ECON,IMCO;Plovdiv;3.0;4.0;1990.0;;;;;
256815;marjan šarec;Šarec;Marjan;SI;Renew;MALE;TRAN,AFET,SEDE;Ljubljana;2.0;12.0;1977.0;;;;;
96780;monika hohlmeier;Hohlmeier;Monika;DE;PPE;FEMALE;BUDG,CONT,LIBE;München;2.0;7.0;1962.0;;Franz Josef Strauß,Marianne Strauß;Dante-Gymnasium Munich,FernUniversität in Hagen;university;politician
256992;hana jalloul muro;Jalloul Muro;Hana;ES;S&D;FEMALE;AFET,INTA,PETI,DROI;Zaragoza;8.0;4.0;1978.0;;;;;
236050;marie dauchy;Dauchy;Marie;FR;PfE;FEMALE;EMPL,AGRI;Calais;5.0;2.0;1987.0;;;;;employee,q97768317,politician,q97767950
197687;philippe olivier;Olivier;Philippe;FR;PfE;MALE;TRAN,IMCO;Juvisy sur Orge;30.0;8.0;1961.0;;Marine Le Pen,Yann Le Pen,Marion Maréchal,Docteur Merlin,Jean-Marie Le Pen,Pierrette Lalanne;Paris 12 University;;lawyer,politician
