id;type;officialFamilyName;officialGivenName;identifier;name;familyName;givenName;sortLabel;country;group
person/197687;Person;;;197687;Philippe OLIVIER;Olivier;Philippe;OLIVIER;FR;PfE
person/197863;Person;;;197863;Maria WALSH;Walsh;Maria;WALSH;IE;PPE
person/130100;Person;;;130100;Hilde VAUTMANS;Vautmans;Hilde;VAUTMANS;BE;Renew
person/103381;Person;;;103381;Terry REINTKE;Reintke;Terry;REINTKE;DE;Verts/ALE
person/257256;Person;КАБИЛОВ;Танер;257256;Taner KABILOV;Kabilov;Taner;KABILOVT;BG;Renew
person/197589;Person;;;197589;Laurence FARRENG;Farreng;Laurence;FARRENG;FR;Renew
person/197408;Person;;;197408;Hildegard BENTELE;Bentele;Hildegard;BENTELE;DE;PPE
person/239260;Person;;;239260;Denis NESCI;Nesci;Denis;NESCI;IT;ECR
person/197432;Person;;;197432;Jan-Christoph OETJEN;Oetjen;Jan-Christoph;OETJEN;DE;Renew
person/197825;Person;;;197825;Raffaele STANCANELLI;Stancanelli;Raffaele;STANCANELLI;IT;PfE
person/257000;Person;;;257000;Stephen Nikola BARTULICA;Bartulica;Stephen Nikola;BARTULICAS;HR;ECR
person/124834;Person;;;124834;Martin SONNEBORN;Sonneborn;Martin;SONNEBORN;DE;NI
person/256921;Person;;;256921;Laurent CASTILLO;Castillo;Laurent;CASTILLOL;FR;PPE
person/124893;Person;;;124893;Bogdan Andrzej ZDROJEWSKI;Zdrojewski;Bogdan Andrzej;ZDROJEWSKI;PL;PPE
person/257084;Person;;;257084;Joanna SCHEURING-WIELGUS;Scheuring-Wielgus;Joanna;SCHEURINGWIELGUSJ;PL;S&D
person/257046;Person;;;257046;Marta WCISŁO;Wcisło;Marta;WCISLOM;PL;PPE
person/197574;Person;;;197574;Damien CARÊME;Carême;Damien;CAREME;FR;The Left
person/256811;Person;;;256811;Aurelijus VERYGA;Veryga;Aurelijus;VERYGAA;LT;ECR
person/256998;Person;;;256998;Rachel BLOM;Blom;Rachel;BLOMR;NL;PfE
person/96761;Person;;;96761;Axel VOSS;Voss;Axel;VOSS;DE;PPE
person/197780;Person;;;197780;Bart GROOTHUIS;Groothuis;Bart;GROOTHUIS;NL;Renew
person/197824;Person;;;197824;Giuseppe MILAZZO;Milazzo;Giuseppe;MILAZZO;IT;ECR
person/124850;Person;Радев;Емил;124850;Emil RADEV;Radev;Emil;RADEV;BG;PPE
person/257094;Person;;;257094;Giovanni CROSETTO;Crosetto;Giovanni;CROSETTOG;IT;ECR
person/197417;Person;;;197417;Tomislav SOKOL;Sokol;Tomislav;SOKOL;HR;PPE
person/257083;Person;;;257083;João OLIVEIRA;Oliveira;João;OLIVEIRAJ;PT;The Left
person/256885;Person;;;256885;Bruno TOBBACK;Tobback;Bruno;TOBBACKB;BE;S&D
person/96756;Person;;;96756;Sabine VERHEYEN;Verheyen;Sabine;VERHEYEN;DE;PPE
person/23699;Person;;;23699;Kateřina KONEČNÁ;Konečná;Kateřina;KONECNA;CZ;NI
person/124722;Person;;;124722;Csaba MOLNÁR;Molnár;Csaba;MOLNAR;HU;S&D
person/257255;Person;СТОЯНОВ;Станислав;257255;Stanislav STOYANOV;Stoyanov;Stanislav;STOYANOVS;BG;ESN
person/197400;Person;;;197400;Abir AL-SAHLANI;Al-Sahlani;Abir;ALSAHLANI;SE;Renew
